SN   BLOCK1 DATE INHIBITOR    N
1       1    1         1 21.4
2       2    1         1 11.3
3       3    1         1 34.9
4       1    1         2 54.8
5       2    1         2 47.9
6       3    1         2 40.1
7       1    2         1 50.8
8       2    2         1 42.7
9       3    2         1 61.8
10      1    2         2 56.9
11      2    2         2 46.8
12      3    2         2 57.9
13      1    3         1 53.2
14      2    3         1 44.8
15      3    3         1 57.8
16      1    3         2 57.7
17      2    3         2 54.0
18      3    3         2 62.0
